,sex,jbstatus,age,tenure,ethnicity,ManMot1,ManMot2,ManMot3,ManMot4,ocb1,ocb2,ocb3,ocb4,aut1,aut2,aut3,Justice1,Justice2,Justice3,JobSat1,JobSat2,Quit1,Quit2,Quit3,Man1,Man2,Man3,Eng1,Eng2,Eng3,Eng4,pos1,pos2,pos3
49,female,permanent,46-50,1.0,White British,strongly disagree,neither,disagree,neither,I frequently do this,I frequently do this,I frequently do this,I frequently do this,neither,neither,disagree,disagree,disagree,disagree,agree,neither,disagree,strongly disagree,strongly disagree,disagree,neither,neither,strongly agree,strongly agree,strongly agree,strongly agree,disagree,neither,neither
50,male,permanent,41-45,12.0,White British,disagree,disagree,disagree,strongly disagree,I frequently do this,I frequently do this,I sometimes do this,I occasionally do this,agree,neither,agree,disagree,disagree,disagree,neither,neither,neither,neither,neither,neither,neither,neither,neither,strongly agree,agree,neither,disagree,neither,neither
51,female,permanent,26-30,1.5,White British,strongly agree,strongly agree,strongly agree,strongly agree,I always do this,I frequently do this,I frequently do this,I never do this,agree,agree,agree,neither,neither,disagree,strongly agree,neither,strongly agree,strongly agree,strongly agree,neither,neither,neither,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,disagree,disagree
52,female,permanent,46-50,10.0,White British,agree,strongly agree,agree,agree,I always do this,I sometimes do this,I frequently do this,I always do this,strongly agree,strongly agree,strongly agree,neither,neither,neither,agree,agree,strongly disagree,strongly disagree,strongly disagree,neither,neither,neither,strongly agree,neither,neither,strongly agree,neither,neither,neither
53,female,permanent,46-50,3.0,White British,agree,agree,neither,agree,I always do this,I sometimes do this,I frequently do this,I occasionally do this,strongly agree,strongly agree,strongly agree,neither,neither,neither,agree,agree,neither,neither,neither,neither,neither,neither,disagree,neither,neither,disagree,neither,neither,disagree
54,female,permanent,31-35,1.0,White British,neither,agree,neither,neither,I always do this,I frequently do this,I frequently do this,I frequently do this,neither,neither,neither,neither,neither,neither,neither,neither,disagree,disagree,disagree,agree,agree,agree,agree,agree,neither,agree,neither,neither,neither
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,female,permanent,46-50,26.0,White British,agree,agree,agree,agree,I frequently do this,I always do this,I frequently do this,I occasionally do this,agree,agree,strongly agree,neither,disagree,neither,agree,neither,disagree,neither,disagree,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither
57,female,permanent,51-55,10.0,White British,agree,strongly agree,agree,strongly agree,I frequently do this,I frequently do this,I frequently do this,I always do this,agree,agree,agree,agree,neither,neither,strongly agree,agree,disagree,disagree,disagree,neither,agree,agree,agree,agree,agree,agree,agree,agree,agree
58,female,permanent,56 +,10.0,,strongly disagree,strongly agree,strongly disagree,neither,I always do this,I frequently do this,I frequently do this,I always do this,agree,agree,agree,neither,neither,neither,disagree,disagree,strongly disagree,strongly disagree,strongly disagree,agree,agree,agree,strongly agree,strongly agree,neither,strongly agree,strongly agree,strongly disagree,strongly disagree
59,female,permanent,46-50,5.0,White British,agree,agree,agree,agree,I always do this,I frequently do this,I always do this,I sometimes do this,strongly agree,strongly agree,strongly agree,neither,neither,neither,agree,agree,disagree,disagree,disagree,neither,neither,neither,neither,neither,neither,neither,disagree,disagree,disagree
60,male,permanent,56 +,12.0,White - Other,strongly disagree,disagree,strongly disagree,strongly disagree,I frequently do this,I frequently do this,I frequently do this,I never do this,agree,agree,agree,neither,disagree,strongly disagree,neither,agree,strongly disagree,strongly disagree,strongly disagree,neither,strongly disagree,strongly disagree,neither,strongly agree,neither,disagree,strongly disagree,strongly disagree,strongly disagree
61,female,permanent,41-45,1.5,White British,neither,neither,agree,neither,I frequently do this,I sometimes do this,I frequently do this,I frequently do this,agree,agree,agree,neither,agree,disagree,neither,disagree,disagree,agree,disagree,agree,neither,neither,agree,agree,agree,agree,agree,neither,neither
62,female,permanent,less than 20,11.0,White British,strongly agree,strongly agree,strongly agree,strongly agree,I always do this,I always do this,I always do this,I occasionally do this,agree,agree,agree,agree,agree,agree,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,disagree,agree,agree
63,female,permanent,,,White British,strongly disagree,disagree,strongly disagree,strongly disagree,I always do this,I always do this,I always do this,I always do this,strongly agree,strongly disagree,,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,strongly agree,neither,strongly disagree,strongly disagree,strongly disagree,agree,strongly agree,disagree,agree,strongly disagree,strongly disagree,strongly disagree
64,female,permanent,36-40,2.0,White British,strongly agree,strongly agree,strongly agree,agree,I always do this,I frequently do this,I frequently do this,I sometimes do this,strongly agree,agree,agree,neither,neither,neither,strongly agree,agree,strongly disagree,strongly disagree,strongly disagree,agree,agree,agree,neither,agree,agree,agree,neither,neither,neither
65,female,permanent,51-55,0.3,White British,agree,agree,agree,agree,I frequently do this,I frequently do this,I frequently do this,I frequently do this,agree,agree,agree,neither,neither,neither,agree,agree,neither,neither,neither,agree,agree,agree,disagree,disagree,disagree,disagree,neither,neither,neither
66,female,permanent,51-55,15.0,White British,agree,agree,neither,agree,I always do this,I always do this,I always do this,I always do this,agree,neither,agree,neither,neither,neither,strongly agree,agree,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree
67,male,permanent,56 +,1.0,White British,neither,neither,disagree,strongly disagree,I always do this,I always do this,I always do this,I always do this,strongly agree,strongly agree,strongly agree,neither,neither,neither,strongly agree,strongly agree,disagree,neither,agree,neither,strongly disagree,disagree,disagree,neither,neither,neither,disagree,disagree,strongly disagree
68,female,permanent,46-50,12.0,White British,strongly agree,strongly agree,strongly agree,strongly agree,I always do this,I always do this,I always do this,I always do this,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree
69,female,permanent,56 +,6.0,White - Other,disagree,agree,neither,neither,I sometimes do this,I frequently do this,I frequently do this,I occasionally do this,neither,disagree,disagree,disagree,disagree,disagree,neither,disagree,neither,neither,neither,neither,neither,agree,neither,agree,agree,neither,disagree,disagree,neither
70,female,permanent,56 +,2.0,White British,neither,disagree,neither,disagree,I frequently do this,I always do this,I always do this,I occasionally do this,neither,neither,neither,agree,agree,agree,agree,agree,neither,neither,disagree,agree,agree,agree,agree,agree,agree,agree,neither,neither,disagree
71,female,permanent,41-45,3.0,White British,disagree,neither,neither,agree,I frequently do this,I frequently do this,I frequently do this,I occasionally do this,agree,agree,neither,neither,neither,neither,agree,agree,disagree,disagree,disagree,neither,neither,neither,disagree,agree,agree,agree,disagree,agree,agree
72,male,permanent,36-40,3.5,White British,agree,strongly agree,agree,agree,I always do this,I always do this,I always do this,I always do this,strongly agree,strongly agree,strongly agree,neither,neither,disagree,strongly agree,agree,neither,neither,neither,strongly agree,disagree,strongly agree,agree,agree,agree,agree,disagree,neither,neither
73,male,permanent,31-35,10.0,White British,disagree,strongly disagree,disagree,disagree,I sometimes do this,I sometimes do this,I never do this,I never do this,agree,disagree,neither,strongly disagree,strongly disagree,agree,strongly disagree,disagree,strongly agree,strongly agree,strongly agree,neither,neither,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,female,casual,46-50,0.5,White British,neither,strongly agree,neither,agree,I always do this,I sometimes do this,I never do this,I sometimes do this,agree,agree,disagree,neither,neither,neither,strongly agree,strongly agree,disagree,disagree,disagree,strongly agree,strongly agree,strongly agree,neither,agree,agree,agree,strongly agree,neither,neither
76,female,permanent,56 +,0.1,White British,neither,agree,neither,neither,I occasionally do this,I occasionally do this,I occasionally do this,I never do this,agree,neither,neither,neither,neither,neither,agree,neither,disagree,disagree,disagree,neither,neither,neither,disagree,neither,neither,neither,neither,neither,neither
77,female,permanent,51-55,16.0,Asian - Other,agree,agree,agree,agree,I frequently do this,,,I always do this,agree,agree,agree,neither,neither,neither,agree,agree,disagree,disagree,disagree,neither,neither,neither,neither,agree,neither,neither,,,
78,female,fixed term,26-30,0.25,White British,strongly agree,agree,strongly agree,strongly agree,I always do this,I always do this,I always do this,I never do this,strongly agree,strongly agree,strongly agree,neither,neither,neither,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,,,,strongly agree,strongly agree,strongly agree,strongly agree,neither,neither,neither
79,female,permanent,26-30,0.3,White British,agree,strongly agree,strongly agree,strongly agree,I sometimes do this,I frequently do this,I frequently do this,I occasionally do this,agree,agree,agree,disagree,disagree,disagree,strongly agree,strongly agree,neither,disagree,neither,neither,neither,neither,disagree,disagree,disagree,disagree,disagree,neither,disagree
80,female,permanent,20-25,3.5,White British,disagree,strongly agree,disagree,neither,I frequently do this,I frequently do this,I frequently do this,I never do this,agree,neither,neither,neither,neither,neither,disagree,disagree,agree,agree,agree,neither,neither,neither,disagree,disagree,neither,disagree,disagree,disagree,disagree
81,female,permanent,56 +,3.5,White British,neither,neither,neither,neither,I frequently do this,I frequently do this,I frequently do this,I sometimes do this,agree,disagree,disagree,disagree,disagree,disagree,disagree,neither,disagree,agree,strongly disagree,strongly disagree,disagree,strongly disagree,agree,agree,agree,agree,agree,agree,agree
82,female,permanent,46-50,4.0,White British,disagree,disagree,disagree,neither,I always do this,I frequently do this,I frequently do this,I sometimes do this,agree,agree,agree,disagree,strongly disagree,disagree,neither,neither,disagree,disagree,disagree,neither,neither,neither,neither,agree,agree,agree,neither,neither,neither
83,female,permanent,36-40,1.0,White British,strongly agree,strongly agree,strongly agree,strongly agree,I always do this,I frequently do this,I always do this,I always do this,agree,agree,agree,agree,agree,agree,agree,agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,agree,strongly agree,neither,agree,agree,neither,disagree,disagree,disagree
84,female,permanent,46-50,20.0,White - Other,agree,strongly agree,neither,neither,I always do this,I sometimes do this,I frequently do this,I sometimes do this,strongly agree,agree,strongly agree,neither,neither,neither,agree,agree,neither,neither,neither,disagree,neither,disagree,agree,neither,neither,neither,disagree,neither,neither
85,male,permanent,56 +,14.0,Black - Caribbean,strongly agree,strongly agree,strongly agree,strongly agree,I always do this,I always do this,I always do this,I always do this,agree,agree,agree,neither,agree,neither,agree,agree,disagree,disagree,strongly disagree,agree,agree,agree,agree,strongly agree,strongly agree,strongly agree,neither,neither,neither
86,male,permanent,51-55,0.5,White British,neither,agree,agree,agree,I always do this,I frequently do this,I always do this,I frequently do this,agree,strongly agree,agree,agree,agree,agree,neither,neither,neither,neither,neither,agree,agree,agree,disagree,neither,agree,disagree,disagree,disagree,disagree
87,female,permanent,46-50,6.0,White British,disagree,disagree,disagree,disagree,I always do this,I always do this,I always do this,I never do this,agree,disagree,neither,disagree,disagree,disagree,agree,disagree,strongly agree,strongly agree,strongly agree,disagree,disagree,disagree,agree,agree,agree,agree,disagree,disagree,disagree
88,female,permanent,31-35,2.0,White British,disagree,strongly agree,agree,agree,I sometimes do this,I occasionally do this,I never do this,I sometimes do this,agree,agree,agree,agree,agree,neither,disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,agree,agree,neither,neither,neither
89,female,permanent,51-55,10.0,White British,agree,strongly agree,agree,,I frequently do this,I sometimes do this,I sometimes do this,I frequently do this,agree,strongly agree,agree,agree,agree,agree,agree,agree,disagree,disagree,disagree,neither,neither,neither,agree,agree,agree,agree,disagree,agree,agree
90,female,permanent,26-30,3.0,White British,strongly disagree,strongly disagree,strongly disagree,strongly disagree,I frequently do this,I frequently do this,I frequently do this,I never do this,neither,neither,agree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,agree,agree,agree,agree,agree,agree,agree,neither,neither,neither
91,male,permanent,41-45,12.5,White British,agree,strongly agree,agree,strongly agree,I always do this,I always do this,I always do this,I always do this,strongly agree,strongly agree,strongly agree,agree,neither,strongly agree,agree,agree,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,strongly disagree
92,female,permanent,46-50,4.0,White British,agree,agree,agree,agree,I frequently do this,I frequently do this,I frequently do this,I occasionally do this,agree,disagree,agree,neither,neither,neither,agree,agree,disagree,disagree,disagree,neither,neither,neither,neither,agree,agree,agree,agree,agree,agree
93,female,fixed term,20-25,0.5,White British,agree,agree,neither,agree,I always do this,I frequently do this,I sometimes do this,I always do this,strongly agree,agree,strongly agree,neither,neither,neither,agree,agree,neither,disagree,disagree,agree,agree,agree,neither,neither,neither,neither,neither,neither,neither
94,female,casual,36-40,5.0,White British,neither,neither,neither,agree,I always do this,I frequently do this,I frequently do this,I sometimes do this,agree,agree,agree,neither,disagree,disagree,agree,neither,disagree,strongly disagree,disagree,neither,neither,neither,agree,agree,agree,agree,agree,agree,agree
95,female,permanent,36-40,1.0,White British,strongly agree,strongly agree,strongly agree,strongly agree,I always do this,I always do this,I always do this,I frequently do this,strongly agree,strongly agree,strongly agree,agree,agree,disagree,agree,agree,strongly disagree,strongly disagree,strongly disagree,agree,agree,agree,agree,agree,agree,agree,strongly agree,disagree,neither
